"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"EIA-STD";1;"BLUE_LED";;;
2;"D2";"EIA-STD";1;"GREEN_LED";;;
3;"D3";"EIA-STD";1;"RED_LED";;;
4;"FUD1, FUD2, FUD3, FUD4, FUD5, FUD6";"FIDUCIAL_40MIL";6;"FIDUCIAL";;;
5;"MGT1, MGT2, MGT3, MGT4";"MOUNTING_HOLE";4;"MOUNTING_HOLE";;;
6;"R1, R2";"POT-PO90S";2;"POTENTIOMETER";;;
7;"R3, R4, R5";"R0603";3;"1k";;;
8;"SPIDISPLAY0";"SCREEN";1;"SCREEN";;;
9;"SW1, SW2";"BUTTON_12.5MM";2;"PUSH_BUTTON";;;
10;"U1";"POCKETBEAGLE";1;"POCKETBEAGLE";;;
11;"USBPORT0";"TE_292303-1";1;"292303-1";;;
